,count,mean,std,min,25%,50%,75%,max,IQR
TotalSteps,220.0,7162.072727272727,5471.246790047856,0.0,2411.5,6647.5,10919.0,24136.0,8507.5
TotalDistance,220.0,5.0875908913598815,4.097637567167579,0.0,1.6950000226497675,4.61999988555908,7.487500071525577,20.9099998474121,5.79250004887581
VeryActiveMinutes,220.0,18.631818181818183,30.33279471191674,0.0,0.0,0.5,30.25,202.0,30.25
FairlyActiveMinutes,220.0,12.4,19.16008026598758,0.0,0.0,4.0,18.0,141.0,18.0
SedentaryMinutes,220.0,1002.959090909091,323.0732746368197,32.0,736.75,1063.5,1274.75,1440.0,538.0
Calories,220.0,2217.3136363636363,798.98709094872,0.0,1777.75,2076.0,2629.25,4430.0,851.5
